10000, 1, 2, 1
50000, 10, 12, 8
75001, 15, 17, 14
100000, 54, 40, 23
500001, 290, 247, 222
1000000, 3433, 1439, 965
10000000, 9069, 7335, 7405
100000000, 52284, 70220, 61100
