10000, 3, 607, 2, 2
50000, 9, 555, 9, 8
75001, 10, 429, 11, 11
100000, 14, 464, 16, 15
500001, 57, 575, 86, 69
1000000, 123, 518, 129, 133
10000000, 1290, 1109, 1349, 1317
100000000, 11508, 6158, 14063, 18521
